brand,km_driven,fuel,owner,selling_price
Mahindra,59736,Diesel,First Owner,775000
Honda,54290,Petrol,First Owner,350000
Honda,2118,Petrol,First Owner,475000
Mahindra,61379,Diesel,First Owner,950000
Honda,58544,Petrol,Second Owner,350000
Maruti,74381,Petrol,First Owner,400000
Maruti,35000,Petrol,Third Owner,75000
Ford,63982,Diesel,First Owner,850000
Maruti,65000,Petrol,Second Owner,175000
Mahindra,74000,Diesel,First Owner,570000
Renault,56429,Diesel,Second Owner,525000
Hyundai,56000,Petrol,First Owner,270000
Hyundai,19500,Petrol,First Owner,434999
Hyundai,30000,Petrol,First Owner,495000
Hyundai,53000,Diesel,First Owner,575000
Hyundai,5000,Petrol,First Owner,600000
Hyundai,25000,Petrol,First Owner,700000
Honda,72000,Diesel,First Owner,560000
Maruti,72000,Diesel,First Owner,565000
Mahindra,80000,Diesel,First Owner,250000
Skoda,29000,Petrol,Second Owner,409999
Nissan,56832,Diesel,First Owner,495000
Hyundai,30528,Petrol,First Owner,470000
Honda,65285,Diesel,First Owner,350000
Toyota,20102,Diesel,First Owner,1560000
Honda,43000,Petrol,First Owner,480000
Toyota,52380,Diesel,First Owner,270000
Mahindra,74250,Diesel,First Owner,660000
Maruti,57247,Petrol,First Owner,490000
Maruti,52000,Diesel,First Owner,800000
Nissan,47000,Petrol,Second Owner,350000
Ford,80000,Diesel,Third Owner,170000
Tata,85000,Diesel,Second Owner,125000
Maruti,100000,Diesel,First Owner,400000
Nissan,110000,Petrol,First Owner,250000
Fiat,178000,Diesel,Second Owner,190000
Maruti,120000,Petrol,Third Owner,125000
Jeep,70000,Diesel,First Owner,1950000
Audi,120000,Diesel,First Owner,1300000
Toyota,155000,Diesel,Third Owner,786000
Maruti,30000,Petrol,First Owner,335000
Maruti,60000,Petrol,Third Owner,114999
Volkswagen,70000,Diesel,Fourth & Above Owner,229999
Hyundai,40000,Diesel,First Owner,731000
Hyundai,120000,Diesel,First Owner,395000
Maruti,120000,Diesel,First Owner,500000
Hyundai,50000,Petrol,Third Owner,220000
Ford,100000,Diesel,First Owner,240000
Hyundai,120000,Diesel,Third Owner,215000
Maruti,90000,Diesel,Second Owner,400000
Maruti,90000,Petrol,First Owner,191000
Mahindra,100000,Diesel,Second Owner,351000
Tata,20000,Petrol,First Owner,250000
Hyundai,90000,Diesel,Second Owner,210000
Toyota,120000,Petrol,Third Owner,300000
Ford,35000,Diesel,First Owner,700000
Hyundai,120000,Diesel,Second Owner,500000
Maruti,120000,Petrol,First Owner,120000
Hyundai,10000,Diesel,First Owner,850000
Mahindra,100000,Diesel,Second Owner,120000
Honda,65000,Diesel,Second Owner,770000
Honda,90000,Petrol,Third Owner,245000
Maruti,90000,Petrol,First Owner,250000
Hyundai,42323,Diesel,First Owner,651000
Honda,42462,Petrol,First Owner,480000
Maruti,54723,Diesel,First Owner,470000
Honda,30000,Diesel,First Owner,500000
BMW,42545,Diesel,First Owner,1075000
Maruti,32000,Diesel,First Owner,690000
Maruti,41232,Diesel,First Owner,589000
Maruti,41232,Diesel,First Owner,589000
Maruti,20375,Petrol,First Owner,480000
Maruti,43978,Diesel,Second Owner,450000
Maruti,50000,Diesel,First Owner,770000
Mahindra,40200,Diesel,First Owner,445000
Hyundai,30000,Petrol,First Owner,700000
Maruti,90000,Diesel,First Owner,560000
Ford,48000,Diesel,Second Owner,475000
Honda,27233,Diesel,First Owner,465000
Maruti,28832,Diesel,First Owner,520000
Tata,35000,Petrol,First Owner,225000
Maruti,35000,Petrol,First Owner,700000
Maruti,40000,Diesel,First Owner,780000
Honda,80000,Petrol,Second Owner,93150
Mahindra,30000,Diesel,Second Owner,403000
Hyundai,50000,Petrol,Second Owner,229999
Maruti,40000,Diesel,Second Owner,525000
Maruti,25000,Petrol,First Owner,560000
Mahindra,120000,Diesel,First Owner,830000
Maruti,60000,Diesel,Second Owner,250000
Mahindra,110000,Diesel,First Owner,450000
Mahindra,67000,Diesel,First Owner,745000
Ford,50000,Diesel,Second Owner,144000
Maruti,40000,Petrol,First Owner,120000
Tata,120000,Diesel,Second Owner,300000
Maruti,100000,Petrol,First Owner,52000
Mahindra,98000,Diesel,First Owner,300000
Mahindra,150000,Diesel,Second Owner,270000
Chevrolet,38000,Diesel,First Owner,260000
Toyota,120000,Diesel,First Owner,475000
Ford,103000,Diesel,Third Owner,302000
Maruti,60000,Petrol,First Owner,45000
Maruti,80000,Diesel,First Owner,775000
Maruti,50000,Diesel,First Owner,700000
Maruti,90000,Diesel,First Owner,530000
Tata,70000,Diesel,First Owner,869999
Hyundai,110000,Diesel,Fourth & Above Owner,155000
Tata,30000,Petrol,First Owner,550000
Maruti,80000,Diesel,Second Owner,600000
Maruti,110000,Diesel,Second Owner,430000
Tata,120000,Diesel,First Owner,246000
Maruti,120000,Petrol,Third Owner,120000
Hyundai,70000,Petrol,Second Owner,565000
Hyundai,60000,Diesel,First Owner,850000
Maruti,90000,Petrol,First Owner,160000
Fiat,142500,Diesel,First Owner,325000
Mahindra,90000,Diesel,Third Owner,450000
Hyundai,50000,Petrol,First Owner,310000
Honda,90000,Diesel,Third Owner,250000
Maruti,115000,Diesel,Second Owner,420000
Hyundai,150000,Petrol,Second Owner,330000
Maruti,68000,Petrol,Second Owner,405000
Mahindra,90000,Diesel,Second Owner,400000
Honda,110000,Petrol,Third Owner,409999
Mahindra,70000,Diesel,Second Owner,500000
Mahindra,80000,Diesel,Third Owner,590000
Hyundai,118000,Petrol,First Owner,80000
Hyundai,100000,Petrol,Second Owner,135000
Maruti,70000,Petrol,Second Owner,70000
Maruti,77000,Petrol,Third Owner,45000
Maruti,35500,Diesel,First Owner,650000
Maruti,17500,Petrol,First Owner,400000
Maruti,27000,Petrol,First Owner,350000
Hyundai,60000,Diesel,First Owner,550000
Maruti,25000,Petrol,First Owner,350000
Maruti,80000,Diesel,First Owner,459999
Maruti,60000,Petrol,Second Owner,185000
Volkswagen,38000,Diesel,First Owner,550000
Maruti,100000,LPG,Second Owner,300000
Maruti,60000,Petrol,Third Owner,175000
Toyota,110000,Diesel,First Owner,900000
Honda,92000,Diesel,First Owner,900000
Mahindra,180000,Diesel,Third Owner,550000
Maruti,10000,Petrol,First Owner,625000
Maruti,35000,Petrol,Second Owner,310000
Maruti,35000,Diesel,First Owner,500000
Hyundai,23000,Diesel,First Owner,610000
Tata,150000,Diesel,Third Owner,150000
Hyundai,70000,Diesel,First Owner,480000
Hyundai,40000,Petrol,First Owner,650000
Hyundai,100000,Diesel,Second Owner,290000
Maruti,50000,Petrol,Second Owner,300000
Maruti,120000,Diesel,Fourth & Above Owner,270000
Hyundai,60000,Diesel,Second Owner,400000
Maruti,28000,Petrol,Second Owner,280000
Maruti,60000,Petrol,Third Owner,250000
Maruti,80000,Diesel,Second Owner,495000
Ford,12000,Diesel,First Owner,3250000
Honda,4500,Petrol,First Owner,700000
Tata,70000,Diesel,First Owner,310000
Renault,120000,Diesel,First Owner,650000
Honda,80000,Petrol,First Owner,600000
Tata,150000,Diesel,Fourth & Above Owner,150000
Mahindra,120000,Petrol,First Owner,135000
Maruti,50000,Diesel,First Owner,650000
Honda,83000,Petrol,First Owner,550000
Maruti,20000,Diesel,First Owner,650000
Toyota,49000,Diesel,First Owner,2900000
Honda,6750,Petrol,First Owner,450000
Maruti,26000,Petrol,First Owner,650000
Hyundai,52000,Petrol,First Owner,430000
Hyundai,51000,Diesel,First Owner,1143000
Maruti,20000,Petrol,First Owner,700000
Maruti,18500,Petrol,First Owner,229999
Mahindra,142000,Diesel,First Owner,509999
Ford,50478,Petrol,First Owner,670000
Tata,9200,Petrol,First Owner,525000
Renault,40000,Diesel,First Owner,515000
Maruti,5000,Petrol,First Owner,630000
Datsun,2300,Petrol,First Owner,270000
Maruti,40000,Petrol,First Owner,300000
Mahindra,119000,Diesel,First Owner,250000
Maruti,100000,Petrol,Fourth & Above Owner,90000
Maruti,100000,Diesel,First Owner,750000
Maruti,50000,Petrol,Second Owner,135000
Maruti,80000,Petrol,Second Owner,275000
Tata,15000,Petrol,First Owner,740000
Honda,1303,Petrol,First Owner,690000
Audi,31800,Diesel,First Owner,3975000
Lexus,20000,Petrol,First Owner,5150000
Jaguar,45000,Diesel,First Owner,3200000
Jeep,17000,Petrol,First Owner,4100000
Toyota,4295,Petrol,First Owner,1000000
Toyota,5229,Petrol,First Owner,1000000
Hyundai,4701,Petrol,First Owner,550000
Maruti,6757,Petrol,First Owner,600000
Skoda,28182,Petrol,First Owner,675000
Nissan,11533,Petrol,First Owner,950000
Honda,11688,Petrol,First Owner,850000
Toyota,68089,Petrol,First Owner,2000000
Toyota,57728,Petrol,First Owner,550000
Maruti,23712,Diesel,First Owner,925000
Ford,70670,Petrol,First Owner,625000
Maruti,43381,Petrol,Second Owner,200000
Honda,79011,Petrol,First Owner,635000
Honda,56494,Petrol,First Owner,550000
Maruti,50000,Diesel,Second Owner,425000
Maruti,40000,Petrol,First Owner,220000
Hyundai,10000,Petrol,First Owner,590000
Mahindra,35000,Diesel,First Owner,775000
Maruti,58500,Petrol,First Owner,350000
Maruti,20000,Petrol,First Owner,575000
Nissan,43500,Petrol,Second Owner,200000
Tata,30000,Diesel,First Owner,1575000
Ford,63000,Diesel,First Owner,600000
Mahindra,35000,Diesel,First Owner,720000
Tata,110000,Diesel,Second Owner,158000
Tata,25000,Diesel,First Owner,1575000
Hyundai,30000,Petrol,First Owner,580000
Mahindra,50000,Diesel,First Owner,420000
Mahindra,35000,Diesel,First Owner,1200000
Renault,30000,Petrol,First Owner,350000
Honda,56000,Petrol,First Owner,650000
Maruti,12700,Petrol,First Owner,400000
Tata,35000,Diesel,First Owner,700000
Hyundai,30000,Petrol,First Owner,520000
Mahindra,120000,Diesel,First Owner,450000
Tata,100000,Diesel,First Owner,850000
Renault,34000,Petrol,First Owner,350000
Mahindra,56000,Diesel,First Owner,450000
Hyundai,90000,Petrol,First Owner,165000
Hyundai,65000,Petrol,Second Owner,160000
Tata,80000,Diesel,First Owner,300000
Mahindra,90000,Diesel,Third Owner,550000
Maruti,40000,Petrol,First Owner,285000
Hyundai,58000,Diesel,First Owner,850000
Ford,19100,Petrol,First Owner,700000
Maruti,25000,Petrol,First Owner,900000
Maruti,49455,Petrol,First Owner,180000
Hyundai,100000,Petrol,First Owner,220000
Tata,120000,Diesel,First Owner,120000
Hyundai,90000,Petrol,Fourth & Above Owner,220000
Chevrolet,46815,Diesel,Second Owner,420000
Tata,110000,Diesel,First Owner,160000
Hyundai,80000,Petrol,First Owner,250000
Maruti,100000,Diesel,Third Owner,385000
Maruti,80000,Petrol,First Owner,318000
Hyundai,40000,Petrol,First Owner,480000
Maruti,70000,Petrol,Third Owner,330000
Tata,80000,Diesel,First Owner,152000
Maruti,40000,Petrol,First Owner,250000
Tata,80000,Diesel,First Owner,248000
Nissan,60000,Petrol,Second Owner,300000
Hyundai,50000,Petrol,First Owner,550000
Hyundai,30000,Diesel,First Owner,650000
Hyundai,25000,Petrol,First Owner,445000
Toyota,334000,Diesel,First Owner,450000
Mahindra,100000,Diesel,First Owner,600000
Renault,175000,Diesel,First Owner,495000
Maruti,65000,Petrol,Third Owner,220000
Maruti,65000,Petrol,Third Owner,260000
Hyundai,90000,Petrol,First Owner,150000
Ford,80000,Diesel,Second Owner,200000
Mahindra,110000,Diesel,First Owner,1465000
Toyota,80000,Diesel,Second Owner,285000
Honda,60000,Petrol,Third Owner,250000
Mahindra,160000,Diesel,First Owner,310000
Mahindra,100875,Diesel,First Owner,600000
Maruti,20000,Petrol,First Owner,560000
Maruti,30000,Petrol,First Owner,500000
Hyundai,118000,Diesel,First Owner,270000
Hyundai,69000,Diesel,Third Owner,420000
Maruti,25000,Petrol,Second Owner,434999
Hyundai,100000,Petrol,First Owner,400000
Maruti,110000,Diesel,First Owner,470000
Nissan,60000,Diesel,Third Owner,480000
Hyundai,128000,Petrol,First Owner,105000
Tata,120000,Diesel,First Owner,325000
Toyota,80000,Diesel,Second Owner,280000
Hyundai,5000,Petrol,First Owner,675000
Hyundai,90000,Petrol,Second Owner,170000
Hyundai,90000,Diesel,First Owner,1250000
Honda,144030,Petrol,First Owner,600000
Honda,200000,Diesel,First Owner,819999
Hyundai,29000,Petrol,First Owner,650000
Maruti,90000,LPG,Second Owner,105000
Mahindra,176000,Diesel,Second Owner,200000
Tata,150000,Diesel,First Owner,200000
Maruti,90000,Petrol,First Owner,220000
Volkswagen,70000,Petrol,Second Owner,500000
Mahindra,99000,Diesel,Second Owner,175000
Tata,5000,Petrol,First Owner,450000
Chevrolet,90000,Diesel,Fourth & Above Owner,210000
Maruti,89000,Diesel,Second Owner,270000
Tata,88000,Diesel,Second Owner,110000
Maruti,30000,Diesel,First Owner,480000
Maruti,50000,Diesel,Second Owner,650000
Maruti,80000,Diesel,First Owner,480000
Hyundai,40000,Diesel,First Owner,700000
Maruti,110000,Diesel,Third Owner,650000
Hyundai,48000,Diesel,Second Owner,1300000
Volkswagen,97000,Diesel,First Owner,1350000
Volkswagen,60000,Diesel,First Owner,1000000
Mercedes-Benz,110000,Diesel,Third Owner,1700000
Toyota,12800,Petrol,First Owner,1080000
Hyundai,40000,Petrol,First Owner,170000
Maruti,49000,Diesel,First Owner,610000
Maruti,25000,Petrol,First Owner,350000
Maruti,65000,Petrol,Second Owner,260000
Fiat,20000,Diesel,First Owner,700000
Volkswagen,17000,Petrol,First Owner,678000
Maruti,15000,Diesel,First Owner,800000
Toyota,120000,Diesel,Second Owner,400000
Hyundai,49000,Petrol,First Owner,300000
Hyundai,29000,Petrol,First Owner,520000
Nissan,55000,Diesel,First Owner,850000
Mahindra,5000,Diesel,First Owner,1460000
Tata,35000,Diesel,First Owner,830000
Datsun,5000,Petrol,Second Owner,430000
Ford,60000,Diesel,First Owner,850000
Maruti,70000,Petrol,First Owner,650000
Hyundai,120000,Diesel,Second Owner,120000
Mahindra,65100,Diesel,Second Owner,730000
Maruti,20000,Petrol,First Owner,525000
Hyundai,108000,Diesel,First Owner,600000
Maruti,15000,Petrol,First Owner,500000
Hyundai,77000,Petrol,First Owner,150000
Maruti,18500,Petrol,First Owner,409999
Mahindra,120000,Diesel,First Owner,625000
Renault,15200,Petrol,First Owner,290000
Honda,35000,Petrol,First Owner,500000
Hyundai,80000,Diesel,First Owner,475000
Hyundai,70000,Petrol,First Owner,190000
Mahindra,80000,Diesel,Second Owner,750000
Nissan,120000,Diesel,Second Owner,525000
Chevrolet,82000,Diesel,Third Owner,495000
Jaguar,9000,Diesel,First Owner,2625000
Lexus,20000,Petrol,First Owner,5150000
Jaguar,45000,Diesel,First Owner,3200000
Tata,110000,Diesel,First Owner,503000
Volvo,20000,Diesel,First Owner,3800000
Toyota,68089,Petrol,First Owner,2000000
Maruti,58343,Petrol,First Owner,225000
Maruti,38817,Diesel,First Owner,740000
Honda,56494,Petrol,First Owner,550000
Toyota,79328,Diesel,Second Owner,750000
Maruti,5621,Petrol,First Owner,650000
Toyota,25538,Petrol,First Owner,625000
Maruti,69779,Petrol,First Owner,600000
Hyundai,56290,Diesel,First Owner,450000
BMW,7500,Diesel,First Owner,5400000
BMW,8500,Diesel,First Owner,5500000
Honda,7032,Petrol,First Owner,779000
Skoda,11000,Petrol,First Owner,645000
Volvo,2000,Diesel,First Owner,2475000
Honda,60000,Petrol,Second Owner,321000
Toyota,50000,Petrol,First Owner,585000
Ford,70000,Diesel,First Owner,225000
Honda,70000,Diesel,First Owner,500000
Hyundai,90000,Diesel,Third Owner,350000
Maruti,70000,Diesel,Second Owner,756000
Maruti,50000,Petrol,First Owner,240000
Maruti,120000,Petrol,Second Owner,80000
Hyundai,5000,Petrol,First Owner,800000
Tata,25000,Diesel,First Owner,1250000
Mahindra,80000,Diesel,Third Owner,320000
Hyundai,25000,Petrol,First Owner,509999
Tata,15000,Diesel,First Owner,650000
Maruti,35000,Petrol,Second Owner,210000
Maruti,80000,Petrol,Second Owner,110000
Tata,25000,Diesel,First Owner,665000
Volkswagen,52000,Diesel,First Owner,555000
Volkswagen,52000,Diesel,First Owner,560000
Mahindra,80000,Diesel,First Owner,375000
Maruti,77000,Diesel,Second Owner,290000
Toyota,50000,Diesel,First Owner,2950000
Maruti,127000,Diesel,First Owner,605000
Honda,30000,Petrol,First Owner,720000
Maruti,70000,Diesel,First Owner,800000
Mahindra,54000,Diesel,First Owner,1325000
Mitsubishi,120000,Diesel,Second Owner,625000
Hyundai,116500,Diesel,First Owner,350000
Toyota,145000,Diesel,Second Owner,600000
Hyundai,120000,Petrol,First Owner,300000
Tata,120000,Diesel,First Owner,240000
Ford,80000,Diesel,First Owner,377000
Maruti,140000,Petrol,First Owner,450000
Hyundai,100000,Petrol,Fourth & Above Owner,160000
Hyundai,100000,Petrol,First Owner,525000
Toyota,168000,Diesel,Second Owner,550000
Chevrolet,120000,Diesel,Third Owner,270000
Toyota,145000,Diesel,Second Owner,570000
Ford,90000,Diesel,Second Owner,225000
Hyundai,90000,Petrol,First Owner,590000
Jeep,80000,Diesel,First Owner,1675000
Ford,33000,Petrol,First Owner,800000
Chevrolet,13500,Petrol,First Owner,450000
Tata,80000,Diesel,First Owner,300000
Hyundai,20000,Petrol,First Owner,645000
Maruti,58000,Diesel,First Owner,520000
Hyundai,40000,Petrol,First Owner,200000
Honda,30000,Petrol,First Owner,700000
Maruti,50000,Petrol,Second Owner,45000
Ford,73000,Diesel,First Owner,459999
Maruti,90000,Diesel,Second Owner,325000
Maruti,50000,Petrol,Second Owner,350000
Hyundai,80000,Diesel,Third Owner,440000
Hyundai,70000,Diesel,Second Owner,320000
Chevrolet,41000,Petrol,First Owner,169000
Volkswagen,50000,Petrol,Fourth & Above Owner,350000
Ford,113226,Diesel,First Owner,350000
Ford,90000,Diesel,Second Owner,310000
Maruti,70000,Petrol,Third Owner,150000
Mahindra,160500,Diesel,Fourth & Above Owner,420000
Maruti,30000,Petrol,First Owner,685000
Renault,132000,Diesel,Second Owner,560000
Maruti,120000,Diesel,Third Owner,470000
Hyundai,80000,Petrol,Second Owner,380000
Mahindra,57000,Diesel,Second Owner,670000
Maruti,5000,Petrol,First Owner,550000
Hyundai,25000,Petrol,First Owner,749000
Hyundai,80000,Diesel,Second Owner,899000
Chevrolet,88000,Diesel,Third Owner,290000
Toyota,217000,Diesel,Second Owner,869999
Datsun,60000,Petrol,First Owner,350000
Maruti,43000,Petrol,First Owner,500000
Skoda,77000,Diesel,Second Owner,400000
Renault,30000,Petrol,First Owner,260000
Maruti,40000,Petrol,Second Owner,220000
Chevrolet,139000,Diesel,Second Owner,190000
Hyundai,80000,Petrol,First Owner,400000
Chevrolet,76000,Diesel,Second Owner,170000
Hyundai,3500,Petrol,First Owner,650000
Maruti,62000,Petrol,Second Owner,60000
Tata,110000,Petrol,Second Owner,300000
Chevrolet,40000,Petrol,Second Owner,125000
Tata,120000,Diesel,Second Owner,130000
Mahindra,1500000,Diesel,First Owner,500000
Maruti,70000,Petrol,Third Owner,170000
Maruti,77000,Diesel,Second Owner,310000
Chevrolet,110000,Petrol,Second Owner,130000
Maruti,20000,Petrol,First Owner,465000
Mahindra,90000,Diesel,Third Owner,160000
Mercedes-Benz,120005,Diesel,Second Owner,800000
Maruti,16830,Petrol,First Owner,260000
Mahindra,70000,Diesel,First Owner,500000
Renault,38000,Petrol,First Owner,325000
Mahindra,80000,Diesel,First Owner,400000
Toyota,50000,Diesel,First Owner,3200000
Tata,50000,Diesel,First Owner,200000
Mahindra,52000,Diesel,First Owner,450000
Tata,50000,Diesel,First Owner,229999
Hyundai,30000,Petrol,First Owner,340000
Mahindra,103000,Diesel,First Owner,550000
Ford,93468,Diesel,Second Owner,975000
Volvo,20000,Diesel,First Owner,3800000
Volkswagen,80000,Petrol,Second Owner,225000
Ford,12000,Diesel,First Owner,3250000
Tata,70000,Diesel,First Owner,280000
Honda,4500,Petrol,First Owner,700000
Tata,35000,Diesel,First Owner,259000
Toyota,60000,Diesel,First Owner,3200000
Mahindra,30000,Diesel,First Owner,1400000
Ford,40000,Petrol,First Owner,416000
Tata,70000,Diesel,First Owner,250000
Tata,120000,Diesel,First Owner,210000
Mahindra,120000,Diesel,Second Owner,290000
Tata,90000,Diesel,First Owner,220000
Tata,35000,Diesel,Second Owner,246000
Maruti,30000,Petrol,First Owner,260000
Hyundai,70000,Diesel,First Owner,1050000
Tata,60000,Diesel,First Owner,290000
Tata,70000,Diesel,First Owner,310000
Hyundai,6000,Petrol,First Owner,700000
Maruti,20000,Petrol,First Owner,550000
Tata,70000,Diesel,First Owner,450000
Honda,65000,Petrol,First Owner,773000
Tata,25000,Petrol,First Owner,450000
Maruti,10000,Petrol,First Owner,409999
Maruti,35000,Petrol,Fourth & Above Owner,45000
Nissan,80000,Petrol,Second Owner,600000
Chevrolet,63000,Petrol,First Owner,250000
Tata,100000,Diesel,First Owner,70000
Honda,1303,Petrol,First Owner,690000
Audi,31800,Diesel,First Owner,3975000
Lexus,20000,Petrol,First Owner,5150000
Jaguar,45000,Diesel,First Owner,3200000
Jeep,17000,Petrol,First Owner,4100000
Toyota,4295,Petrol,First Owner,1000000
Toyota,5229,Petrol,First Owner,1000000
Toyota,68089,Petrol,First Owner,2000000
Maruti,23712,Diesel,First Owner,925000
Honda,56494,Petrol,First Owner,550000
Maruti,16589,Petrol,First Owner,430000
Toyota,79328,Diesel,Second Owner,750000
Honda,53201,Petrol,Second Owner,675000
Maruti,25272,Petrol,First Owner,570000
Maruti,53619,Diesel,First Owner,850000
BMW,7500,Diesel,First Owner,5400000
BMW,8500,Diesel,First Owner,5500000
Honda,7032,Petrol,First Owner,779000
Ford,6001,Petrol,First Owner,640000
Tata,80000,Diesel,First Owner,250000
Renault,12000,Diesel,First Owner,1250000
Ford,25000,Petrol,First Owner,889000
Hyundai,40000,Diesel,Second Owner,750000
Maruti,130000,Diesel,Third Owner,320000
Skoda,202000,Diesel,First Owner,600000
Maruti,40000,Diesel,First Owner,1000000
Maruti,70000,Petrol,Fourth & Above Owner,110000
Honda,120000,Petrol,Second Owner,250000
Maruti,60000,Diesel,First Owner,600000
Maruti,60000,Petrol,First Owner,165000
Maruti,60000,Petrol,Second Owner,118000
Maruti,78000,Diesel,First Owner,700000
Renault,80000,Diesel,Second Owner,585000
Maruti,120000,Petrol,Fourth & Above Owner,120000
Maruti,90000,Petrol,Fourth & Above Owner,65000
Maruti,100000,Petrol,Second Owner,150000
Maruti,70000,Petrol,Fourth & Above Owner,150000
Hyundai,160000,Diesel,Third Owner,170000
Mahindra,120000,Diesel,Third Owner,250000
Hyundai,100000,Diesel,Third Owner,100000
Maruti,60000,Diesel,Second Owner,599000
Chevrolet,135000,Diesel,Third Owner,250000
Maruti,90000,Petrol,First Owner,570000
Volkswagen,75000,Diesel,Second Owner,440000
Toyota,185000,Diesel,Second Owner,300000
Nissan,71717,Petrol,Second Owner,300000
Mahindra,150000,Diesel,Second Owner,500000
Maruti,55000,Diesel,First Owner,660000
Ford,90000,Petrol,Second Owner,256000
Renault,35000,Petrol,First Owner,409999
Toyota,120000,Diesel,Second Owner,1888000
Hyundai,100000,LPG,Second Owner,250000
Honda,40000,Petrol,Third Owner,280000
Mahindra,100000,Diesel,First Owner,300000
Tata,120000,Diesel,First Owner,900000
Maruti,60000,Petrol,First Owner,190000
Mahindra,2000,Diesel,First Owner,800000
Mahindra,100000,Diesel,First Owner,450000
Mahindra,110000,Diesel,First Owner,400000
Tata,90000,Diesel,Second Owner,150000
Tata,84321,Diesel,First Owner,200000
Mahindra,177000,Diesel,First Owner,600000
Tata,60000,Diesel,First Owner,175000
Tata,205000,Diesel,Second Owner,99000
Hyundai,70000,Petrol,Second Owner,215000
Maruti,70000,Petrol,Third Owner,190000
Renault,126000,Diesel,Second Owner,520000
Ford,120000,Diesel,Second Owner,2280000
Tata,70000,Diesel,First Owner,285000
Mahindra,82000,Diesel,First Owner,660000
Maruti,110000,Petrol,Third Owner,31504
Maruti,45000,Petrol,Second Owner,515000
Nissan,70000,Diesel,Second Owner,295000
Nissan,80000,Diesel,Second Owner,700000
Mahindra,45000,Diesel,First Owner,1100000
Hyundai,60000,Petrol,First Owner,300000
Maruti,41800,Petrol,First Owner,450000
Maruti,132000,Petrol,Second Owner,135000
Maruti,50000,Diesel,Second Owner,700000
Ford,40000,Diesel,First Owner,250000
Maruti,96000,Petrol,Second Owner,140000
Mahindra,117000,Diesel,First Owner,250000
Hyundai,110000,Petrol,Second Owner,210000
Honda,100000,Diesel,Second Owner,420000
Maruti,88700,Petrol,Third Owner,130000
Nissan,70000,Petrol,Second Owner,320000
Maruti,110000,Petrol,Second Owner,200000
Maruti,15000,Petrol,First Owner,310000
Mahindra,80000,Diesel,Second Owner,200000
Maruti,50000,Petrol,First Owner,350000
Hyundai,15000,Petrol,First Owner,444000
Datsun,25000,Petrol,First Owner,300000
Mahindra,57000,Diesel,Second Owner,225000
Mahindra,75000,Diesel,First Owner,600000
Maruti,26000,Petrol,First Owner,260000
Hyundai,160000,Diesel,First Owner,375000
Maruti,26000,Petrol,First Owner,260000
Maruti,120000,Petrol,Second Owner,150000
Maruti,50000,Petrol,Second Owner,110000
Maruti,40000,Petrol,First Owner,225000
Toyota,90000,Diesel,Third Owner,400000
Maruti,120000,Petrol,Third Owner,93000
Honda,28000,Petrol,First Owner,860000
Maruti,50000,Diesel,First Owner,650000
Maruti,90000,Diesel,First Owner,650000
Hyundai,40000,Diesel,First Owner,710000
Ford,113000,Diesel,First Owner,430000
Maruti,188000,Diesel,Second Owner,305000
Ford,100000,Diesel,First Owner,220000
Tata,225000,Diesel,Third Owner,150000
Mahindra,67000,Diesel,Second Owner,660000
Chevrolet,70000,Diesel,Fourth & Above Owner,140000
Toyota,50000,Petrol,First Owner,1100000
Jaguar,60000,Diesel,First Owner,2450000
Volkswagen,34000,Diesel,First Owner,625000
Honda,110000,Petrol,Third Owner,198000
Hyundai,71000,Petrol,Second Owner,60000
Maruti,140000,Petrol,Second Owner,130000
Honda,100000,Petrol,Second Owner,540000
Hyundai,10000,Petrol,First Owner,550000
Maruti,30000,Petrol,First Owner,475000
Audi,22000,Diesel,First Owner,2825000
Honda,5500,Diesel,First Owner,2125000
BMW,18000,Diesel,First Owner,3350000
Toyota,20000,Diesel,First Owner,1800000
Hyundai,7000,Petrol,First Owner,540000
Force,20000,Diesel,First Owner,910000
Maruti,4875,Petrol,First Owner,484999
Hyundai,2700,Diesel,First Owner,1950000
Maruti,58511,Diesel,First Owner,950000
Ford,105000,Diesel,First Owner,365000
Mahindra,26235,Diesel,First Owner,900000
Tata,26766,Diesel,First Owner,919999
MG,1600,Petrol,First Owner,1900000
Mercedes-Benz,46000,Diesel,First Owner,2950000
Mahindra,23000,Diesel,First Owner,1075000
Maruti,24522,Petrol,First Owner,600000
BMW,13663,Diesel,First Owner,3200000
Skoda,11000,Diesel,First Owner,2600000
Maruti,63000,Diesel,First Owner,839000
Volkswagen,2000,Petrol,First Owner,635000
Mahindra,300000,Diesel,Third Owner,550000
Mahindra,190000,Diesel,Third Owner,180000
Honda,80000,Diesel,First Owner,650000
Honda,80000,Petrol,Second Owner,350000
Maruti,54000,Petrol,First Owner,265000
Renault,30000,Petrol,First Owner,330000
Maruti,5000,Petrol,First Owner,395000
Mahindra,58945,Diesel,First Owner,700000
Ford,90000,Diesel,First Owner,300000
Toyota,375000,Diesel,First Owner,650000
Maruti,160000,Diesel,Third Owner,625000
Volkswagen,80000,Diesel,Second Owner,425000
Maruti,50000,Petrol,Third Owner,55000
Tata,80000,Diesel,Second Owner,250000
Mahindra,156975,Diesel,First Owner,459999
Toyota,5000,Diesel,First Owner,1594000
Chevrolet,50000,Petrol,First Owner,300000
Ford,27620,Diesel,First Owner,950000
Mahindra,120000,Diesel,First Owner,484999
